ModelName,ModelDomain,SourceWebAddress,SourceCodeAvailability,CodeReviewed,ProgrammingLanguage,DOIModel,FullUrl,F,A,I,R,F1,F2,F3,A1,A3,I1,I2,I3,R1,R2,R3,R4,F1_1,F1_2,F2_1,F2_2,F3_1,F3_2,F3_3,A1_2,A1_3,A1_4,A1_5,A3_2,A3_3,A3_4,A3_5,I1_1,I1_3,I1_4,I2_1,I2_2,I3_1,I3_2,I3_3,R1_1,R2_1,R3_2,R4_1
Bio,Marine,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100099,https://csdms.colorado.edu/wiki/Model:Bio,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
BlockLab,Terrestrial,https://github.com/cmshobe/BlockLab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:BlockLab,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CHILD,Terrestrial,https://github.com/childmodel/child,Through web repository,1,C++,10.1594/IEDA/100102,https://csdms.colorado.edu/wiki/Model:CHILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICE,Cryosphere,https://github.com/CICE-Consortium/CICE,Through web repository,1,Fortran90,,https://csdms.colorado.edu/wiki/Model:CICE,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CMIP,Climate,https://github.com/permamodel,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:CMIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAWST,Coastal,https://github.com/DOI-USGS/COAWST,Through web repository,1,C,,https://csdms.colorado.edu/wiki/Model:COAWST,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
COLT Restorations,Coastal,https://github.com/mbbarksdale/CoLT_Restorations,Through web repository,1,Matlab,10.5281/zenodo.14052901,https://csdms.colorado.edu/wiki/Model:COLT_Restorations,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CWatM,Hydrology,https://github.com/iiasa/CWatM,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:CWatM,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
ChannelProfiler,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:ChannelProfiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChiFinder,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:ChiFinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliffs,Coastal,https://github.com/Delta-function/cliffs-src,Through web repository,1,Fortran90,,https://csdms.colorado.edu/wiki/Model:Cliffs,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CoAStal Community-lAnDscape Evolution (CASCADE) model,Coastal,https://github.com/UNC-CECL/CASCADE,Through CSDMS repository,1,Python,,https://csdms.colorado.edu/wiki/Model:CoAStal_Community-lAnDscape_Evolution_(CASCADE)_model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoastMorpho2D,Coastal,https://github.com/csdms-contrib/CoastMorpho2D,Through web repository,1,Matlab,10.5281/zenodo.10563890,https://csdms.colorado.edu/wiki/Model:CoastMorpho2D,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
